age,bought_insurance
56,1
46,0
32,0
60,1
25,0
38,0
56,1
36,0
40,1
28,1
28,0
41,1
53,1
57,0
41,0
20,0
39,1
19,0
41,0
61,1
47,1
55,1
19,0
38,0
50,0
29,0
39,0
61,1
42,0
44,1
59,1
45,1
33,0
32,0
64,1
61,1
20,0
54,1
24,0
38,0
26,0
56,1
35,0
21,0
42,0
31,0
26,1
43,1
19,0
37,0
45,1
64,1
24,0
61,1
25,0
64,1
52,1
31,0
34,0
53,1
57,1
21,0
19,0
23,0
59,1
21,0
46,0
35,1
43,1
61,1
51,1
27,0
53,0
31,0
48,0
32,0
25,1
31,0
40,1
57,1
38,0
33,0
62,1
35,1
64,1
41,0
43,1
42,1
62,1
58,1
46,1
32,0
62,1
18,0
42,1
24,0
26,1
41,0
18,0
61,1
25,0
41,0
28,0
34,0
25,0
52,1
52,1
50,1
22,0
59,1
56,1
58,1
45,1
24,0
26,0
25,0
29,0
51,1
50,1
40,1
41,0
54,1
52,1
61,1
57,1
39,1
44,1
52,1
18,0
52,1
54,1
64,1
31,0
20,0
18,0
22,0
43,1
31,0
56,1
44,0
26,0
32,0
32,1
43,0
59,1
30,0
49,1
56,1
49,1
21,0
47,1
54,1
40,0
56,1
62,1
32,0
60,1
46,1
53,1
30,0
49,0
24,0
39,1
45,1
19,0
59,1
62,1
23,0
45,1
45,1
61,1
61,1
37,0
47,1
28,0
45,1
42,0
56,1
50,0
18,0
44,1
30,0
58,1
20,0
56,1
23,0
25,0
44,0
26,0
54,1
50,1
59,1
61,1
41,0
32,0
49,1
49,1
41,0
58,1
29,0
56,1
19,0
20,0
54,1
34,0
19,0
19,0
45,1
40,0
54,1
49,1
50,0
18,0
36,0
19,0
61,1
43,1
49,1
23,0
49,0
21,0
28,0
34,1
55,1
41,1
22,0
51,1
23,0
39,1
28,0
33,0
50,1
26,0
23,0
33,0
46,1
20,0
37,0
53,1
36,0
43,1
20,0
36,1
37,0
49,1
24,0
58,1
50,1
57,1
56,1
35,1
57,1
18,0
28,0
45,1
42,1
40,1
48,1
47,1
59,1
52,1
24,0
33,0
43,1
19,0
18,0
29,1
22,0
54,1
49,1
26,0
58,1
52,1
36,1
33,1
20,0
37,1
41,1
50,1
41,0
28,0
25,0
53,1
55,1
57,0
37,0
52,1
42,1
52,1
42,1
46,1
35,1
63,1
35,0
19,0
52,0
33,0
58,1
53,1
50,1
21,0
50,0
31,0
38,0
37,0
25,0
24,0
20,0
34,0
50,1
29,1
39,1
39,1
63,1
47,1
55,1
55,1
62,1
25,0
44,0
44,0
51,0
38,0
47,1
50,1
45,1
64,1
50,1
22,0
36,1
21,0
52,1
34,0
61,1
45,1
47,1
46,1
63,1
23,0
52,1
58,1
54,1
41,1
46,1
63,1
48,0
52,1
50,1
38,1
49,0
40,0
50,1
20,0
35,1
42,0
59,1
48,1
20,0
57,1
63,1
41,1
49,1
64,1
39,1
40,0
19,0
44,1
59,1
19,0
43,1
34,0
57,1
50,1
26,1
60,1
56,0
46,1
59,1
43,1
52,1
42,0
41,1
30,0
24,0
53,1
62,1
37,0
18,0
25,0
63,1
33,0
31,0
29,0
40,0
32,0
45,1
51,1
19,0
49,1
40,0
39,0
42,0
39,1
39,0
59,1
23,0
32,1
60,1
54,1
50,1
25,0
61,1
61,1
22,0
56,1
21,0
23,1
62,1
49,1
47,1
64,1
52,1
57,1
33,1
30,0
59,1
47,1
36,0
34,0
36,1
45,0
43,1
54,1
43,1
40,0
26,0
29,0
18,0
18,0
64,1
51,1
49,1
42,1
57,1
62,1
18,0
33,0
56,1
22,0
39,0
46,1
20,0
29,1
43,1
33,1
54,1
39,1
46,1
31,0
45,1
22,0
64,1
47,1
63,1
22,0
29,0
33,0
43,0
43,1
38,1
56,1
53,1
50,0
47,1
54,1
40,0
27,0
22,0
53,1
51,1
48,1
27,0
36,0
49,0
18,0
22,0
62,1
21,0
33,0
41,0
33,1
19,0
45,0
49,1
44,0
37,0
41,0
29,0
52,1
50,1
50,0
60,1
54,1
29,0
20,0
18,0
50,1
57,1
27,0
60,1
61,1
46,0
30,0
29,0
48,1
63,1
19,0
52,1
40,0
34,0
43,1
25,0
46,0
43,1
27,0
43,0
51,0
58,1
24,0
21,0
62,1
28,0
46,1
53,1
42,1
38,1
53,1
27,0
54,1
26,0
41,0
52,1
52,1
53,1
35,0
56,1
49,1
41,0
40,0
49,1
54,1
29,0
30,0
40,0
42,0
52,0
58,1
47,1
34,0
37,1
42,1
39,0
30,0
36,0
53,1
29,0
58,1
36,0
29,0
26,0
24,0
45,0
31,0
48,1
36,0
64,1
33,0
22,0
52,1
29,0
42,1
38,0
53,1
40,0
33,0
56,1
62,1
59,1
56,1
31,0
48,1
22,0
52,1
40,1
46,1
60,1
28,0
35,0
64,1
29,0
26,0
27,0
61,1
34,1
55,1
24,1
63,1
30,0
57,1
59,1
26,0
44,1
19,0
22,0
46,1
54,1
55,1
36,0
25,0
62,1
18,0
39,1
34,1
24,0
42,0
62,1
21,0
53,1
23,0
48,0
36,0
61,1
56,1
44,1
27,0
43,1
36,0
56,0
20,0
62,1
30,0
45,1
37,0
45,1
25,0
58,1
56,1
18,0
20,0
30,0
45,1
42,1
50,1
55,1
23,0
61,1
62,1
49,1
62,1
64,1
38,1
33,0
38,0
28,1
54,1
53,1
52,1
36,0
37,0
35,0
64,1
58,1
31,0
32,0
48,1
18,0
20,0
33,0
40,1
28,0
29,0
27,0
49,1
33,0
25,0
55,1
29,1
41,1
45,1
25,0
45,1
53,1
43,0
25,0
45,0
45,1
54,1
58,1
53,1
44,1
34,0
26,0
50,1
37,0
30,0
45,1
46,1
30,0
63,1
52,1
23,0
35,0
22,0
64,1
42,0
19,0
27,0
47,1
62,1
22,0
50,1
18,0
35,0
49,1
64,1
28,0
38,0
43,0
42,0
39,1
44,1
30,0
50,1
51,1
58,1
52,1
18,0
38,0
23,0
45,1
34,0
22,1
48,1
22,0
55,1
20,1
40,1
54,1
54,1
27,0
27,0
36,0
34,0
38,0
31,0
